ISC file: c6288.isc

Gate	Type	Fanout
1	PI	 545 546 549 552 555 558 561 564 567 570 573 576 579 582 585 588
18	PI	 591 594 597 600 603 606 609 612 615 618 621 624 627 630 633 636
35	PI	 639 642 645 648 651 654 657 660 663 666 669 672 675 678 681 684
52	PI	 687 690 693 696 699 702 705 708 711 714 717 720 723 726 729 732
69	PI	 735 738 741 744 747 750 753 756 759 762 765 768 771 774 777 780
86	PI	 783 786 789 792 795 798 801 804 807 810 813 816 819 822 825 828
103	PI	 831 834 837 840 843 846 849 852 855 858 861 864 867 870 873 876
120	PI	 879 882 885 888 891 894 897 900 903 906 909 912 915 918 921 924
137	PI	 927 930 933 936 939 942 945 948 951 954 957 960 963 966 969 972
154	PI	 975 978 981 984 987 990 993 996 999 1002 1005 1008 1011 1014 1017 1020
171	PI	 1023 1026 1029 1032 1035 1038 1041 1044 1047 1050 1053 1056 1059 1062 1065 1068
188	PI	 1071 1074 1077 1080 1083 1086 1089 1092 1095 1098 1101 1104 1107 1110 1113 1116
205	PI	 1119 1122 1125 1128 1131 1134 1137 1140 1143 1146 1149 1152 1155 1158 1161 1164
222	PI	 1167 1170 1173 1176 1179 1182 1185 1188 1191 1194 1197 1200 1203 1206 1209 1212
239	PI	 1215 1218 1221 1224 1227 1230 1233 1236 1239 1242 1245 1248 1251 1254 1257 1260
256	PI	 1263 1266 1269 1272 1275 1278 1281 1284 1287 1290 1293 1296 1299 1302 1305 1308
273	PI	 545 591 639 687 735 783 831 879 927 975 1023 1071 1119 1167 1215 1263
290	PI	 546 594 642 690 738 786 834 882 930 978 1026 1074 1122 1170 1218 1266
307	PI	 549 597 645 693 741 789 837 885 933 981 1029 1077 1125 1173 1221 1269
324	PI	 552 600 648 696 744 792 840 888 936 984 1032 1080 1128 1176 1224 1272
341	PI	 555 603 651 699 747 795 843 891 939 987 1035 1083 1131 1179 1227 1275
358	PI	 558 606 654 702 750 798 846 894 942 990 1038 1086 1134 1182 1230 1278
375	PI	 561 609 657 705 753 801 849 897 945 993 1041 1089 1137 1185 1233 1281
392	PI	 564 612 660 708 756 804 852 900 948 996 1044 1092 1140 1188 1236 1284
409	PI	 567 615 663 711 759 807 855 903 951 999 1047 1095 1143 1191 1239 1287
426	PI	 570 618 666 714 762 810 858 906 954 1002 1050 1098 1146 1194 1242 1290
443	PI	 573 621 669 717 765 813 861 909 957 1005 1053 1101 1149 1197 1245 1293
460	PI	 576 624 672 720 768 816 864 912 960 1008 1056 1104 1152 1200 1248 1296
477	PI	 579 627 675 723 771 819 867 915 963 1011 1059 1107 1155 1203 1251 1299
494	PI	 582 630 678 726 774 822 870 918 966 1014 1062 1110 1158 1206 1254 1302
511	PI	 585 633 681 729 777 825 873 921 969 1017 1065 1113 1161 1209 1257 1305
528	PI	 588 636 684 732 780 828 876 924 972 1020 1068 1116 1164 1212 1260 1308
545	AND	 6289
546	AND	 1446 1507
549	AND	 1763 1825
552	AND	 2085 2150
555	AND	 2414 2477
558	AND	 2745 2807
561	AND	 3079 3141
564	AND	 3417 3480
567	AND	 3760 3826
570	AND	 4110 4174
573	AND	 4462 4525
576	AND	 4817 4880
579	AND	 5176 5240
582	AND	 5540 5607
585	AND	 5882 5929
588	AND	 6085 6107
591	AND	 1311 1371
594	AND	 1450 1512
597	AND	 1767 1830
600	AND	 2089 2155
603	AND	 2418 2482
606	AND	 2749 2812
609	AND	 3083 3146
612	AND	 3421 3485
615	AND	 3764 3831
618	AND	 4114 4179
621	AND	 4466 4530
624	AND	 4821 4885
627	AND	 5180 5245
630	AND	 5544 5612
633	AND	 5886 5934
636	AND	 6064 6090
639	AND	 1315 1373
642	AND	 1454 1517
645	AND	 1771 1835
648	AND	 2093 2160
651	AND	 2422 2487
654	AND	 2753 2817
657	AND	 3087 3151
660	AND	 3425 3490
663	AND	 3768 3836
666	AND	 4118 4184
669	AND	 4470 4535
672	AND	 4825 4890
675	AND	 5184 5250
678	AND	 5548 5617
681	AND	 5840 5891
684	AND	 6040 6069
687	AND	 1319 1375
690	AND	 1458 1522
693	AND	 1775 1840
696	AND	 2097 2165
699	AND	 2426 2492
702	AND	 2757 2822
705	AND	 3091 3156
708	AND	 3429 3495
711	AND	 3772 3841
714	AND	 4122 4189
717	AND	 4474 4540
720	AND	 4829 4895
723	AND	 5188 5255
726	AND	 5489 5553
729	AND	 5792 5845
732	AND	 6014 6045
735	AND	 1323 1377
738	AND	 1462 1527
741	AND	 1779 1845
744	AND	 2101 2170
747	AND	 2430 2497
750	AND	 2761 2827
753	AND	 3095 3161
756	AND	 3433 3500
759	AND	 3776 3846
762	AND	 4126 4194
765	AND	 4478 4545
768	AND	 4833 4900
771	AND	 5130 5193
774	AND	 5434 5494
777	AND	 5743 5797
780	AND	 5984 6019
783	AND	 1327 1379
786	AND	 1466 1532
789	AND	 1783 1850
792	AND	 2105 2175
795	AND	 2434 2502
798	AND	 2765 2832
801	AND	 3099 3166
804	AND	 3437 3505
807	AND	 3780 3851
810	AND	 4130 4199
813	AND	 4482 4550
816	AND	 4775 4838
819	AND	 5076 5135
822	AND	 5383 5439
825	AND	 5688 5748
828	AND	 5950 5989
831	AND	 1331 1381
834	AND	 1470 1537
837	AND	 1787 1855
840	AND	 2109 2180
843	AND	 2438 2507
846	AND	 2769 2837
849	AND	 3103 3171
852	AND	 3441 3510
855	AND	 3784 3856
858	AND	 4134 4204
861	AND	 4423 4487
864	AND	 4721 4780
867	AND	 5026 5081
870	AND	 5327 5388
873	AND	 5633 5693
876	AND	 5907 5955
879	AND	 1335 1383
882	AND	 1474 1542
885	AND	 1791 1860
888	AND	 2113 2185
891	AND	 2442 2512
894	AND	 2773 2842
897	AND	 3107 3176
900	AND	 3445 3515
903	AND	 3788 3861
906	AND	 4073 4139
909	AND	 4368 4428
912	AND	 4671 4726
915	AND	 4968 5031
918	AND	 5271 5332
921	AND	 5569 5638
924	AND	 5861 5912
927	AND	 1339 1385
930	AND	 1478 1547
933	AND	 1795 1865
936	AND	 2117 2190
939	AND	 2446 2517
942	AND	 2777 2847
945	AND	 3111 3181
948	AND	 3449 3520
951	AND	 3730 3793
954	AND	 4022 4078
957	AND	 4323 4373
960	AND	 4616 4676
963	AND	 4916 4973
966	AND	 5209 5276
969	AND	 5510 5574
972	AND	 5813 5866
975	AND	 1343 1387
978	AND	 1482 1552
981	AND	 1799 1870
984	AND	 2121 2195
987	AND	 2450 2522
990	AND	 2781 2852
993	AND	 3115 3186
996	AND	 3392 3454
999	AND	 3681 3735
1002	AND	 3980 4027
1005	AND	 4269 4328
1008	AND	 4566 4621
1011	AND	 4854 4921
