ISC file: c499.isc

Gate	Type	Fanout
1	PI	 250 274 724
5	PI	 250 276 725
9	PI	 251 278 726
13	PI	 251 280 727
17	PI	 252 274 728
21	PI	 252 276 729
25	PI	 253 278 730
29	PI	 253 280 731
33	PI	 254 275 732
37	PI	 254 277 733
41	PI	 255 279 734
45	PI	 255 281 735
49	PI	 256 275 736
53	PI	 256 277 737
57	PI	 257 279 738
61	PI	 257 281 739
65	PI	 258 282 740
69	PI	 258 284 741
73	PI	 259 286 742
77	PI	 259 288 743
81	PI	 260 282 744
85	PI	 260 284 745
89	PI	 261 286 746
93	PI	 261 288 747
97	PI	 262 283 748
101	PI	 262 285 749
105	PI	 263 287 750
109	PI	 263 289 751
113	PI	 264 283 752
117	PI	 264 285 753
121	PI	 265 287 754
125	PI	 265 289 755
129	PI	 266
130	PI	 267
131	PI	 268
132	PI	 269
133	PI	 270
134	PI	 271
135	PI	 272
136	PI	 273
137	PI	 266 267 268 269 270 271 272 273
250		 290
251		 290
252		 293
253		 293
254		 296
255		 296
256		 299
257		 299
258		 302
259		 302
260		 305
261		 305
262		 308
263		 308
264		 311
265		 311
266	AND	 346
267	AND	 347
268	AND	 348
269	AND	 349
270	AND	 350
271	AND	 351
272	AND	 352
273	AND	 353
274		 314
275		 314
276		 315
277		 315
278		 316
279		 316
280		 317
281		 317
282		 318
283		 318
284		 319
285		 319
286		 320
287		 320
288		 321
289		 321
290		 338 340
293		 338 341
296		 339 340
299		 339 341
302		 342 344
305		 342 345
308		 343 344
311		 343 345
314		 354
315		 367
316		 380
317		 393
318		 406
319		 419
320		 432
321		 445
338		 350
339		 351
340		 352
341		 353
342		 346
343		 347
344		 348
345		 349
346		 354
347		 367
348		 380
349		 393
350		 406
351		 419
352		 432
353		 445
354		 554 557 560 590 592 597 640 645 692 696 700 704
367		 555 558 563 586 588 596 650 655 693 697 701 705
380		 556 561 564 589 593 595 640 650 694 698 702 706
393		 559 562 565 587 591 594 645 655 695 699 703 707
406		 570 572 574 577 580 601 620 625 708 712 716 720
419		 566 568 575 578 583 600 630 635 709 713 717 721
432		 569 573 576 581 584 599 620 630 710 714 718 722
445		 567 571 579 582 585 598 625 635 711 715 719 723
554	NOT	 594
555	NOT	 594
556	NOT	 594
557	NOT	 595
558	NOT	 595
559	NOT	 595
560	NOT	 596
561	NOT	 596
562	NOT	 596
563	NOT	 597
564	NOT	 597
565	NOT	 597
566	NOT	 620
567	NOT	 620
568	NOT	 625
569	NOT	 625
570	NOT	 630
571	NOT	 630
572	NOT	 635
573	NOT	 635
574	NOT	 598
575	NOT	 598
576	NOT	 598
577	NOT	 599
578	NOT	 599
579	NOT	 599
580	NOT	 600
581	NOT	 600
582	NOT	 600
583	NOT	 601
584	NOT	 601
585	NOT	 601
586	NOT	 640
587	NOT	 640
588	NOT	 645
589	NOT	 645
590	NOT	 650
591	NOT	 650
592	NOT	 655
593	NOT	 655
594	AND	 602
595	AND	 602
596	AND	 602
597	AND	 602
598	AND	 607
599	AND	 607
600	AND	 607
601	AND	 607
602	OR	 620 625 630 635
607	OR	 640 645 650 655
620	AND	 692 693 694 695
625	AND	 696 697 698 699
630	AND	 700 701 702 703
635	AND	 704 705 706 707
640	AND	 708 709 710 711
645	AND	 712 713 714 715
650	AND	 716 717 718 719
655	AND	 720 721 722 723
692	AND	 724
693	AND	 725
694	AND	 726
695	AND	 727
696	AND	 728
697	AND	 729
698	AND	 730
699	AND	 731
700	AND	 732
701	AND	 733
702	AND	 734
703	AND	 735
704	AND	 736
705	AND	 737
706	AND	 738
707	AND	 739
708	AND	 740
709	AND	 741
710	AND	 742
711	AND	 743
712	AND	 744
713	AND	 745
714	AND	 746
715	AND	 747
716	AND	 748
717	AND	 749
718	AND	 750
719	AND	 751
720	AND	 752
721	AND	 753
722	AND	 754
723	AND	 755
724		 756
725		 757
726		 758
727		 759
728		 760
729		 761
730		 762
731		 763
732		 764
733		 765
734		 766
735		 767
736		 768
737		 769
738		 770
739		 771
740		 772
741		 773
742		 774
743		 775
744		 776
745		 777
746		 778
747		 779
748		 780
749		 781
750		 782
751		 783
752		 784
753		 785
754		 786
755		 787
756	PO	
757	PO	
758	PO	
759	PO	
760	PO	
761	PO	
762	PO	
763	PO	
764	PO	
765	PO	
766	PO	
767	PO	
768	PO	
769	PO	
770	PO	
771	PO	
772	PO	
773	PO	
774	PO	
775	PO	
776	PO	
777	PO	
778	PO	
779	PO	
780	PO	
781	PO	
782	PO	
783	PO	
784	PO	
785	PO	
786	PO	
787	PO	

Gate1	Gate2	Fault
1	0	0
1	0	1
250	1	0
274	1	0
724	1	0
5	0	0
5	0	1
250	5	0
276	5	0
725	5	0
9	0	0
9	0	1
251	9	0
278	9	0
726	9	0
13	0	0
13	0	1
251	13	0
280	13	0
727	13	0
17	0	0
17	0	1
252	17	0
274	17	0
728	17	0
21	0	0
21	0	1
252	21	0
276	21	0
729	21	0
25	0	0
25	0	1
253	25	0
278	25	0
730	25	0
29	0	0
29	0	1
253	29	0
280	29	0
731	29	0
33	0	0
33	0	1
254	33	0
275	33	0
732	33	0
37	0	0
37	0	1
254	37	0
277	37	0
733	37	0
41	0	0
41	0	1
255	41	0
279	41	0
734	41	0
45	0	0
45	0	1
255	45	0
281	45	0
735	45	0
49	0	0
49	0	1
256	49	0
275	49	0
736	49	0
53	0	0
53	0	1
256	53	0
277	53	0
737	53	0
57	0	0
57	0	1
257	57	0
279	57	0
738	57	0
61	0	0
61	0	1
257	61	0
281	61	0
739	61	0
65	0	0
65	0	1
258	65	0
282	65	0
740	65	0
69	0	0
69	0	1
258	69	0
284	69	0
741	69	0
73	0	0
73	0	1
259	73	0
286	73	0
742	73	0
77	0	0
77	0	1
259	77	0
288	77	0
743	77	0
81	0	0
81	0	1
260	81	0
282	81	0
744	81	0
85	0	0
85	0	1
260	85	0
284	85	0
745	85	0
89	0	0
89	0	1
261	89	0
286	89	0
746	89	0
93	0	0
93	0	1
261	93	0
288	93	0
747	93	0
97	0	0
97	0	1
262	97	0
283	97	0
748	97	0
101	0	0
101	0	1
262	101	0
285	101	0
749	101	0
105	0	0
105	0	1
263	105	0
287	105	0
750	105	0
109	0	0
109	0	1
263	109	0
289	109	0
751	109	0
113	0	0
113	0	1
264	113	0
283	113	0
752	113	0
117	0	0
117	0	1
264	117	0
285	117	0
753	117	0
121	0	0
121	0	1
265	121	0
287	121	0
754	121	0
125	0	0
125	0	1
265	125	0
289	125	0
755	125	0
129	0	1
130	0	1
131	0	1
132	0	1
133	0	1
134	0	1
135	0	1
136	0	1
137	0	0
137	0	1
266	137	1
267	137	1
268	137	1
