ISC file: c3540.isc

Gate	Type	Fanout
1	PI	 1670 1667 1409 1219 1197 914 913 874 779 772 769
13	PI	 1670 1667 913 793 786 782
20	PI	 1117 915 914 895 892 891 890 883 803 798 794 793
33	PI	 916 914 896 829 825 821 820
41	PI	 835 832 829
45	PI	 1337 839 836 835
50	PI	 2068 1870 1792 950 842 665 655
58	PI	 2148 2073 1875 956 953 848 845 679 670
68	PI	 2078 1880 877 854 851 690 686 683
77	PI	 2083 2022 1885 1798 1791 1589 706 702 699
87	PI	 2088 2024 1890 1735 1714 861 858 724 715
97	PI	 2093 2026 1895 962 959 867 864 736 727
107	PI	 2098 2028 1900 1797 880 870 749 740
116	PI	 2103 2030 1905 1799 1600 763 753
124	PI	 3207
125	PI	 3215 3214
128	PI	 3223 3222 3213
132	PI	 3231 3230 3221 3212
137	PI	 3239 3238 3229 3220 3211
143	PI	 3247 3246 3237 3228 3219 3210
150	PI	 3255 3254 3245 3236 3227 3218 3209 1788
159	PI	 3263 3262 3253 3244 3235 3226 3217 3208 1790
169	PI	 3664 3645 3463 3455 3439 3431 3423 3407 1179
179	PI	 3667 3648 3466 3458 3442 3434 3426 3410 917 892
190	PI	 3670 3651 3469 3461 3445 3437 3429 3413 886
200	PI	 3671 3652 3470 3462 3446 3438 3430 3414 1803 891 890 889
213	PI	 5215 1926 1922 1917 1913 1912 1909 920
222	PI	 1643
223	PI	 2023 1644
226	PI	 2417 2025 1645 1251 926
232	PI	 2420 2027 1646 1252 929
238	PI	 2425 2029 1647 1253 932
244	PI	 2430 2031 1648 1254 935
250	PI	 2435 2033 1649 1255 1067 938
257	PI	 2438 2035 1650 1256 941 768
264	PI	 2443 2037 1257 944 768
270	PI	 2448 1258 947
274	PI	 2449 2444 2439 2436 2431 2426 2421 2418
283	PI	 3328 3321 3314 3307 3300 3293 3286 3271 2032 1801
294	PI	 3329 3322 3315 3308 3301 3294 3279 2034
303	PI	 3330 3323 3316 3309 3302 3287 2036
311	PI	 3331 3324 3317 3310 3295
317	PI	 3332 3325 3318 3303
322	PI	 3333 3326 3311
326	PI	 3334 3319
329	PI	 3327
330	PI	 4772 4608 4549 4545 4493 4435 4390 4387 4331 4242 4186 965
343	PI	 1926 1922 1917 1913 923
349	PI	 896
350	PI	 2310 2307
655	BUF	 3270 3261 3252 3243 3234 3225 3216 1520 1251
665	NOT	 2898 2398 2148 1268
670	BUF	 3272 3269 3260 3251 3242 3233 3224 1252
679	NOT	 2899 1471 1263
683	BUF	 1729 1267
686	NOT	 2900 1475 1263
690	BUF	 3280 3273 3268 3259 3250 3241 3232 1253
699	BUF	 2348 1267
702	NOT	 2901 1505 1478
706	BUF	 3288 3281 3274 3267 3258 3249 3240 1254
715	BUF	 3296 3289 3282 3275 3266 3257 3248 1255
724	NOT	 2347 1481
727	BUF	 3304 3297 3290 3283 3276 3265 3256 1256
736	NOT	 2351 1484 1264
740	BUF	 3312 3305 3298 3291 3284 3277 3264 1257
749	NOT	 2355 1487 1264
753	BUF	 3320 3313 3306 3299 3292 3285 3278 2349 1258
763	NOT	 2353 1725 1722 1490
768	OR	 1067
769	NOT	 1452 1322
772	BUF	 1821 1761 1756 1331 1328 1325
779	NOT	 1315 1306
782	BUF	 1452 1337 1279
786	NOT	 1833 1824 1761 1331 1328 1325
793	AND	 1196
794	NOT	 1824 1452 1337
798	BUF	 1761 1756 1328 1325
803	NOT	 1599 1596 1594 1591 1588 1585 1583 1580 1352 1351 1350 1349 1348 1347 1346 1345
820	NOT	 1117
821	BUF	 1818 1738 1369
825	NOT	 1747 1384 1298
829	AND	 1427 1426
832	NOT	 1315 1302
835	OR	 1306
836	BUF	 1322 1315
839	NOT	 1276 1273
842	NOT	 1338 1250
845	BUF	 1794 1787
848	NOT	 1338 1250
851	BUF	 1796 1789
854	NOT	 1586 1338 1250
858	BUF	 1800 1793
861	NOT	 1343 1340
864	BUF	 1802 1795
867	NOT	 1343 1340
870	NOT	 1597 1343 1340
874	BUF	 1562 1334
877	BUF	 1496 1493
880	BUF	 1502 1499
883	NOT	 1358 1353
886	BUF	 1358 1353
889	NOT	 1806
890	AND	 1809
891	NAND	 1812
892	AND	 1366 1363
895	NOT	 1179
896	OR	 1864 1862 1860 1858 1856 1854 1852 1850 1408 1407 1406 1405 1404 1403 1402 1401
