ISC file: c432.isc

Gate	Type	Fanout
1	PI	 118 242
4	PI	 119 154 380
8	PI	 157 334
11	PI	 122 246
14	PI	 158 371
17	PI	 123 159 381
21	PI	 183 336
24	PI	 126 250
27	PI	 184 372
30	PI	 127 162 386
34	PI	 185 338
37	PI	 130 254
40	PI	 186 373
43	PI	 131 165 393
47	PI	 187 340
50	PI	 134 255
53	PI	 188 374
56	PI	 135 168 399
60	PI	 189 342
63	PI	 138 256
66	PI	 190 375
69	PI	 139 171 404
73	PI	 191 344
76	PI	 142 257
79	PI	 192 376
82	PI	 143 174 407
86	PI	 193 345
89	PI	 146 258
92	PI	 194 377
95	PI	 147 177 411
99	PI	 195 346
102	PI	 150 259
105	PI	 196 378
108	PI	 151 180 414
112	PI	 197 347
115	PI	 198 379
118	NOT	 154
119	NOT	 157 158
122	NOT	 159
123	NOT	 183 184
126	NOT	 162
127	NOT	 185 186
130	NOT	 165
131	NOT	 187 188
134	NOT	 168
135	NOT	 189 190
138	NOT	 171
139	NOT	 191 192
142	NOT	 174
143	NOT	 193 194
146	NOT	 177
147	NOT	 195 196
150	NOT	 180
151	NOT	 197 198
154	NAND	 199 224
157	BAD	 260
158	BAD	 263
159	NAND	 199 227
162	NAND	 199 230
165	NAND	 199 233
168	NAND	 199 236
171	NAND	 199 239
174	NAND	 199 243
177	NAND	 199 247
180	NAND	 199 251
183	BAD	 264
184	BAD	 288
185	BAD	 267
186	BAD	 289
187	BAD	 270
188	BAD	 290
189	BAD	 273
190	BAD	 291
191	BAD	 276
192	BAD	 292
193	BAD	 279
194	BAD	 293
195	BAD	 282
196	BAD	 294
197	BAD	 285
198	BAD	 295
199	AND	 203 213 223
203	NOT	 224 227 230 233 236 239 243 247 251
213	NOT	 242 246 250 254 255 256 257 258 259
223	NOT	 433
224		 260 263
227		 264 288
230		 267 289
233		 270 290
236		 273 291
239		 276 292
242	NAND	 380
243		 279 293
246	NAND	 381
247		 282 294
250	NAND	 386
251		 285 295
254	NAND	 393
255	NAND	 399
256	NAND	 404
257	NAND	 407
258	NAND	 411
259	NAND	 414
260	NAND	 296 330
263	NAND	 300
264	NAND	 296 331
267	NAND	 296 332
270	NAND	 296 333
273	NAND	 296 335
276	NAND	 296 337
279	NAND	 296 339
282	NAND	 296 341
285	NAND	 296 343
288	NAND	 301
289	NAND	 302
290	NAND	 303
291	NAND	 304
292	NAND	 305
293	NAND	 306
294	NAND	 307
295	NAND	 308
296	AND	 309 319 329
300	NOT	 348
301	NOT	 349
302	NOT	 350
303	NOT	 351
304	NOT	 352
305	NOT	 353
306	NOT	 354
307	NOT	 355
308	NOT	 356
309	NOT	 330 331 332 333 335 337 339 341 343
319	NOT	 334 336 338 340 342 344 345 346 347
329	NOT	 434
330		 348
331		 349
332		 350
