ISC file: c1355.isc

Gate	Type	Fanout
1	PI	 266 314 362 394 1132 1228
8	PI	 266 320 363 398 1135 1230
15	PI	 269 326 364 402 1138 1232
22	PI	 269 332 365 406 1141 1234
29	PI	 272 314 366 395 1144 1236
36	PI	 272 320 367 399 1147 1238
43	PI	 275 326 368 403 1150 1240
50	PI	 275 332 369 407 1153 1242
57	PI	 278 317 370 396 1156 1244
64	PI	 278 323 371 400 1159 1246
71	PI	 281 329 372 404 1162 1248
78	PI	 281 335 373 408 1165 1250
85	PI	 284 317 374 397 1168 1252
92	PI	 284 323 375 401 1171 1254
99	PI	 287 329 376 405 1174 1256
106	PI	 287 335 377 409 1177 1258
113	PI	 290 338 378 410 1180 1260
120	PI	 290 344 379 414 1183 1262
127	PI	 293 350 380 418 1186 1264
134	PI	 293 356 381 422 1189 1266
141	PI	 296 338 382 411 1192 1268
148	PI	 296 344 383 415 1195 1270
155	PI	 299 350 384 419 1198 1272
162	PI	 299 356 385 423 1201 1274
169	PI	 302 341 386 412 1204 1276
176	PI	 302 347 387 416 1207 1278
183	PI	 305 353 388 420 1210 1280
190	PI	 305 359 389 424 1213 1282
197	PI	 308 341 390 413 1216 1284
204	PI	 308 347 391 417 1219 1286
211	PI	 311 353 392 421 1222 1288
218	PI	 311 359 393 425 1225 1290
225	PI	 242
226	PI	 245
227	PI	 248
228	PI	 251
229	PI	 254
230	PI	 257
231	PI	 260
232	PI	 263
233	PI	 242 245 248 251 254 257 260 263
242	AND	 730 754
245	AND	 733 756
248	AND	 736 758
251	AND	 739 760
254	AND	 742 762
257	AND	 745 764
260	AND	 748 766
263	AND	 751 768
266	NAND	 362 363
269	NAND	 364 365
272	NAND	 366 367
275	NAND	 368 369
278	NAND	 370 371
281	NAND	 372 373
284	NAND	 374 375
287	NAND	 376 377
290	NAND	 378 379
293	NAND	 380 381
296	NAND	 382 383
299	NAND	 384 385
302	NAND	 386 387
305	NAND	 388 389
308	NAND	 390 391
311	NAND	 392 393
314	NAND	 394 395
317	NAND	 396 397
320	NAND	 398 399
323	NAND	 400 401
326	NAND	 402 403
329	NAND	 404 405
332	NAND	 406 407
335	NAND	 408 409
338	NAND	 410 411
341	NAND	 412 413
344	NAND	 414 415
347	NAND	 416 417
350	NAND	 418 419
353	NAND	 420 421
356	NAND	 422 423
359	NAND	 424 425
362	NAND	 426
363	NAND	 426
364	NAND	 429
365	NAND	 429
366	NAND	 432
367	NAND	 432
368	NAND	 435
369	NAND	 435
370	NAND	 438
371	NAND	 438
372	NAND	 441
373	NAND	 441
374	NAND	 444
375	NAND	 444
376	NAND	 447
377	NAND	 447
378	NAND	 450
379	NAND	 450
380	NAND	 453
381	NAND	 453
382	NAND	 456
383	NAND	 456
384	NAND	 459
385	NAND	 459
386	NAND	 462
387	NAND	 462
388	NAND	 465
389	NAND	 465
390	NAND	 468
391	NAND	 468
392	NAND	 471
393	NAND	 471
394	NAND	 474
395	NAND	 474
396	NAND	 477
397	NAND	 477
398	NAND	 480
399	NAND	 480
400	NAND	 483
401	NAND	 483
402	NAND	 486
403	NAND	 486
404	NAND	 489
405	NAND	 489
406	NAND	 492
407	NAND	 492
408	NAND	 495
409	NAND	 495
410	NAND	 498
411	NAND	 498
412	NAND	 501
413	NAND	 501
414	NAND	 504
415	NAND	 504
416	NAND	 507
417	NAND	 507
418	NAND	 510
419	NAND	 510
420	NAND	 513
421	NAND	 513
422	NAND	 516
423	NAND	 516
424	NAND	 519
425	NAND	 519
426	NAND	 522 570
429	NAND	 522 571
432	NAND	 525 572
435	NAND	 525 573
438	NAND	 528 574
441	NAND	 528 575
444	NAND	 531 576
447	NAND	 531 577
