ISC file: c880.isc

Gate	Type	Fanout
1	PI	 483 280 279 276 270 269
8	PI	 309 280 279 269
13	PI	 280 270 269
17	PI	 443 432 323 322 317 279 270 269
26	PI	 276 270
29	PI	 292 291 290 287 285 273
36	PI	 296 295 292 291 273
42	PI	 323 322 296 294 292 290 284 273
51	PI	 316 279 276
55	PI	 437 427 280
59	PI	 442 319 296 295 294 293 286 284
68	PI	 286 285 284
72	PI	 284
73	PI	 400
74	PI	 286
75	PI	 294 293 290 287
80	PI	 295 293 291 287
85	PI	 297
86	PI	 297
87	PI	 298
88	PI	 298
89	PI	 355
90	PI	 356
91	PI	 502 332 302 301
96	PI	 504 333 302 301
101	PI	 506 334 304 303
106	PI	 508 335 304 303
111	PI	 511 336 306 305
116	PI	 513 338 306 305
121	PI	 515 340 308 307
126	PI	 517 308 307
130	PI	 519 518 499 498
135	PI	 501 500
138	PI	 318 317 316 309
143	PI	 510 475
146	PI	 512 477
149	PI	 514 479
152	PI	 318
153	PI	 516 481
156	PI	 442 319
159	PI	 593 590 522 325 324
165	PI	 600 597 523 325 324
171	PI	 609 606 524 327 326
177	PI	 619 616 525 327 326
183	PI	 628 625 526 329 328
189	PI	 635 632 527 329 328
195	PI	 644 641 528 331 330
201	PI	 654 651 529 331 330
207	PI	 521 520
210	PI	 417 340 338 336 335 334 333 332
219	PI	 853 852 851 836 810 809 808 794
228	PI	 759 754 751 748 745 742 739 736
237	PI	 760 755 752 749 746 743 740 737
246	PI	 659 650 640 631 624 615 605 596
255	PI	 341 339 337
259	PI	 337
260	PI	 339
261	PI	 758 757 734 733 732
267	PI	 341
268	PI	 310
269	NAND	 342
270	NAND	 392 344
273	AND	 344 343
276	AND	 346 345
279	NAND	 347
280	NAND	 350 349 348
284	NAND	 348
285	NAND	 349
286	NAND	 350
287	AND	 437 432
290	AND	 388
291	AND	 389
292	AND	 390
293	AND	 351
294	AND	 352
295	AND	 353
296	AND	 354
297	AND	 391
298	OR	 356 355
301	NAND	 357
302	OR	 357
303	NAND	 360
304	OR	 360
305	NAND	 363
306	OR	 363
307	NAND	 366
308	OR	 366
309	AND	 536
310	NOT	 482 480 478 476 369
316	AND	 537
317	AND	 538
318	AND	 539
319	NAND	 443 427
322	BAD	 375
323	AND	 375
324	NAND	 376
325	OR	 376
326	NAND	 379
327	OR	 379
328	NAND	 382
329	OR	 382
330	NAND	 385
331	OR	 385
332	AND	 860
333	AND	 861
334	AND	 845
335	AND	 826
336	AND	 827
337	AND	 712
338	AND	 828
339	AND	 721
340	AND	 805
341	AND	 731
342	NOT	 418
343	NOT	 392
344	OR	 419
345	NOT	 393
346	NOT	 399
347	NOT	 410
348	BAD	 400
349	OR	 401
350	OR	 402
351	NOT	 420
352	NOT	 410
353	NOT	 421
354	NOT	 422
355	NAND	 403
356	AND	 423
357	NAND	 406 404
360	NAND	 406 405
363	NAND	 409 407
366	NAND	 409 408
369	NOT	 491 490 489 488 417
375	BAD	 442
376	NAND	 413 411
379	NAND	 413 412
382	NAND	 416 414
385	NAND	 416 415
388	BUF	 881
389	BUF	 882
390	BUF	 883
391	BUF	 884
392	OR	 446
393	NOT	 443 442 437 432 427
399	NOT	 447
400	AND	 424
401	NOT	 448
402	NOT	 449
403	NOT	 450
404	NOT	 425
405	NOT	 425
406	AND	 460
407	NOT	 426
408	NOT	 426
409	AND	 463
410	NAND	 466
411	NOT	 444
412	NOT	 444
413	AND	 492
414	NOT	 445
415	NOT	 445
416	AND	 495
417	AND	 859
418	BUF	 885
419	BUF	 886
420	BUF	 887
421	BUF	 888
422	BUF	 889
423	BUF	 890
424	NOT	 451
425	AND	 460
426	AND	 463
427	AND	 481 479 477 475
432	AND	 482 480 478 476
437	NAND	 491 490 489 488
442	NAND	 466
443	NAND	 483
444	AND	 492
445	AND	 495
446	BUF	 891
447	BUF	 892
448	BUF	 893
449	BUF	 894
450	BUF	 895
451	NOT	 529 528 527 526 525 524 523 522
460	BAD	 499 498
463	BAD	 501 500
466	NAND	 517 515 513 511 508 506 504 502
475	AND	 503
476	AND	 503
477	AND	 505
478	AND	 505
479	AND	 507
480	AND	 507
481	AND	 509
482	AND	 509
483	NAND	 516 514 512 510
488	OR	 569
489	OR	 573
490	OR	 577
491	OR	 581
492	BAD	 519 518
495	BAD	 521 520
498	NAND	 530
499	OR	 530
500	NAND	 533
501	OR	 533
502	AND	 536
503	BAD	 553
504	AND	 537
505	BAD	 557
506	AND	 538
507	BAD	 561
508	AND	 539
509	BAD	 565
510	AND	 540
511	AND	 540
512	AND	 541
513	AND	 541
514	AND	 542
515	AND	 542
516	AND	 543
517	AND	 543
518	NAND	 544
519	OR	 544
520	NAND	 547
521	OR	 547
522	AND	 669
523	AND	 677
524	AND	 686
525	AND	 696
526	AND	 704
527	NAND	 838
528	NAND	 839
529	NAND	 811
530	NAND	 552 550
533	NAND	 552 551
536	BAD	 553
537	BAD	 557
538	BAD	 561
539	BAD	 565
540	BAD	 569
541	BAD	 573
542	BAD	 577
543	BAD	 581
544	NAND	 587 585
547	NAND	 587 586
550	NOT	 588
551	NOT	 588
552	AND	 660
553	NAND	 596 593 590
557	NAND	 605 600 597
561	NAND	 615 609 606
565	NAND	 624 619 616
569	NAND	 631 628 625
573	NAND	 640 635 632
577	NAND	 650 644 641
581	NAND	 659 654 651
585	NOT	 589
586	NOT	 589
587	AND	 661
588	AND	 660
589	AND	 661
590	NAND	 665 662
593	OR	 841 665
596	AND	 669
597	NAND	 673 670
600	OR	 814 766 765 673
605	AND	 677
606	NAND	 682 678
609	OR	 814 813 766 764 682
615	AND	 686
616	NAND	 692 687
619	OR	 814 813 812 692
624	AND	 696
625	NAND	 700 697
628	OR	 795 700
631	AND	 704
632	NAND	 708 705
635	OR	 763 762 734 708
640	AND	 712
641	NAND	 717 713
644	OR	 763 761 734 733 717
650	AND	 721
651	NAND	 727 722
654	OR	 734 733 732 727
659	AND	 731
660	BAD	 767
661	BAD	 768
662	NOT	 737 735
665	AND	 831 830 736
669	BAD	 867
670	NOT	 740 738
673	AND	 833 832 739
677	BAD	 868
678	NOT	 765 743 741
682	AND	 835 834 742
686	BAD	 869
687	NOT	 766 764 746 744
692	AND	 807 806 745
696	BAD	 854
697	NOT	 749 747
700	AND	 789 788 748
704	BAD	 837
705	NOT	 752 750
708	AND	 791 790 751
712	BAD	 838
713	NOT	 762 755 753
717	AND	 793 792 754
721	BAD	 839
722	NOT	 763 761 760 756
727	AND	 759 758 757
731	BAD	 811
732	NAND	 782
733	NAND	 778
734	NAND	 773
735	NOT	 849
736	AND	 769
737	AND	 769
738	NOT	 815
739	AND	 770
740	AND	 770
741	NOT	 819
742	AND	 771
743	AND	 771
744	NOT	 822
745	AND	 772
746	AND	 772
747	NOT	 796
748	AND	 777
749	AND	 777
750	NOT	 773
751	AND	 781
752	AND	 781
753	NOT	 778
754	AND	 785
755	AND	 785
756	NOT	 782
757	BAD	 786
758	AND	 786
759	AND	 787
760	AND	 787
761	NAND	 778
762	NAND	 773
763	NAND	 773
764	NAND	 819
765	NAND	 815
766	NAND	 815
767	BUF	 896
768	BUF	 897
769	BAD	 867
770	BAD	 868
771	BAD	 869
772	BAD	 854
773	NAND	 795 789 788
777	BAD	 837
778	NAND	 791 790
781	BAD	 838
782	NAND	 793 792
785	BAD	 839
786	BAD	 794
787	BAD	 811
788	BAD	 802
789	AND	 802
790	BAD	 803
791	AND	 803
792	BAD	 804
793	AND	 804
794	AND	 805
795	NAND	 796
796	NAND	 814 813 812 807 806
802	BAD	 808
803	BAD	 809
804	BAD	 810
805	BAD	 811
806	BAD	 825
807	AND	 825
808	AND	 826
809	AND	 827
810	AND	 828
811	NAND	 829
812	NAND	 822
813	NAND	 819
814	NAND	 815
815	NAND	 841 831 830
819	NAND	 833 832
822	NAND	 835 834
825	BAD	 836
826	BAD	 837
827	BAD	 838
828	BAD	 839
829	NOT	 840
830	BAD	 842
831	AND	 842
832	BAD	 843
833	AND	 843
834	BAD	 844
835	AND	 844
836	AND	 845
837	NAND	 846
838	NAND	 847
839	NAND	 848
840	NOT	 850
841	NAND	 849
842	BAD	 851
843	BAD	 852
844	BAD	 853
845	BAD	 854
846	NOT	 855
847	NOT	 856
848	NOT	 857
849	AND	 858
850	BUF	 898
851	AND	 859
852	AND	 860
853	AND	 861
854	NAND	 862
855	NOT	 863
856	NOT	 864
857	NOT	 865
858	NOT	 866
859	BAD	 867
860	BAD	 868
861	BAD	 869
862	NOT	 870
863	BUF	 899
864	BUF	 900
